trade_id,timestamp_open,timestamp_close,symbol,timeframe,direction,entry,stop_loss,take_profit,exit_price,pnl,r_multiple,outcome,market_regime,context_bias,context_score,entry_score,extension_atr,spread,volatility,sweep_type,distance_to_h1_high,distance_to_h1_low,distance_to_h1_mid
XAUUSD-2025-10-27T13:15:00+00:00,2025-10-27T13:15:00+00:00,2025-10-27T13:35:00+00:00,XAUUSD,M5,LONG,4047.75,4020.989,4049.3119999999994,4020.989,-26.760999999999967,-1.0,loss,trend,short,77,65,,,,low_sweep,0.8189854481164152,0.1810145518835848,0.31898544811641516
XAUUSD-2026-01-30T21:50:00+00:00,2026-01-30T21:50:00+00:00,2026-01-30T21:50:00+00:00,XAUUSD,M5,SHORT,4912.16,4937.217000000001,4874.0459999999985,4937.217000000001,-25.0570000000007,-1.0,loss,trend,short,74,88,,,,high_sweep,0.573237552851842,0.42676244714815803,0.07323755285184196
XAUUSD-2025-11-14T17:55:00+00:00,2025-11-14T17:55:00+00:00,2025-11-14T18:20:00+00:00,XAUUSD,M5,SHORT,4073.0,4097.397,4072.146,4097.397,-24.396999999999935,-1.0,loss,trend,short,76,85,,,,high_sweep,0.7069025928521374,0.2930974071478626,0.20690259285213877
XAUUSD-2026-01-30T13:45:00+00:00,2026-01-30T13:45:00+00:00,2026-01-30T13:55:00+00:00,XAUUSD,M5,SHORT,5116.93,5140.068,5082.5639999999985,5140.068,-23.13799999999992,-1.0,loss,trend,short,74,87,,,,high_sweep,0.6199888879391403,0.3800111120608597,0.11998888793913931
XAUUSD-2025-11-18T17:55:00+00:00,2025-11-18T17:55:00+00:00,2025-11-18T18:00:00+00:00,XAUUSD,M5,LONG,4070.92,4047.808,4066.264,4047.808,-23.11200000000008,-1.0,loss,trend,long,77,83,,,,low_sweep,0.1946669855315056,0.8053330144684944,0.3053330144684917
XAUUSD-2025-10-31T03:05:00+00:00,2025-10-31T03:05:00+00:00,2025-10-31T03:50:00+00:00,XAUUSD,M5,LONG,4042.28,4019.268,4040.4539999999997,4019.268,-23.01200000000017,-1.0,loss,trend,long,75,86,,,,low_sweep,0.3570950468540841,0.6429049531459159,0.14290495314591586
XAUUSD-2025-11-20T18:35:00+00:00,2025-11-20T18:35:00+00:00,2025-11-20T18:40:00+00:00,XAUUSD,M5,LONG,4082.09,4059.2709999999997,4079.2180000000008,4059.2709999999997,-22.819000000000415,-1.0,loss,trend,long,72,89,,,,low_sweep,0.5356622998544437,0.46433770014555636,0.035662299854443656
XAUUSD-2025-11-20T18:25:00+00:00,2025-11-20T18:25:00+00:00,2025-11-20T18:25:00+00:00,XAUUSD,M5,LONG,4087.67,4065.3410000000003,4080.848,4065.3410000000003,-22.328999999999724,-1.0,loss,trend,long,72,84,,,,low_sweep,0.5356622998544437,0.46433770014555636,0.035662299854443656
XAUUSD-2025-10-23T02:30:00+00:00,2025-10-23T02:30:00+00:00,2025-10-23T03:20:00+00:00,XAUUSD,M5,LONG,4102.110000000001,4079.79,4098.75,4079.79,-22.32000000000062,-1.0,loss,trend,long,78,86,,,,low_sweep,0.13625976004570883,0.8637402399542912,0.36374023995429117
XAUUSD-2025-11-20T18:50:00+00:00,2025-11-20T18:50:00+00:00,2025-11-20T18:50:00+00:00,XAUUSD,M5,LONG,4077.82,4056.696,4072.158,4056.696,-21.12400000000025,-1.0,loss,trend,long,72,79,,,,low_sweep,0.5356622998544437,0.46433770014555636,0.035662299854443656
XAUUSD-2025-10-23T02:20:00+00:00,2025-10-23T02:20:00+00:00,2025-10-23T02:25:00+00:00,XAUUSD,M5,LONG,4104.84,4083.753,4096.103999999999,4083.753,-21.08699999999999,-1.0,loss,trend,long,78,80,,,,low_sweep,0.13625976004570883,0.8637402399542912,0.36374023995429117
XAUUSD-2026-01-30T21:40:00+00:00,2026-01-30T21:40:00+00:00,2026-01-30T21:40:00+00:00,XAUUSD,M5,SHORT,4908.24,4929.241,4878.237999999999,4929.241,-21.001000000000204,-1.0,loss,trend,short,74,88,,,,high_sweep,0.573237552851842,0.42676244714815803,0.07323755285184196
XAUUSD-2025-11-13T05:15:00+00:00,2025-11-13T05:15:00+00:00,2025-11-13T05:20:00+00:00,XAUUSD,M5,SHORT,4183.99,4204.655,4190.090000000001,4204.655,-20.664999999999964,-1.0,loss,trend,short,75,85,,,,high_sweep,0.6787613387550911,0.3212386612449089,0.1787613387550911
XAUUSD-2025-10-31T17:05:00+00:00,2025-10-31T17:05:00+00:00,2025-10-31T18:00:00+00:00,XAUUSD,M5,LONG,4028.93,4008.2870000000003,4025.845999999999,4008.2870000000003,-20.642999999999574,-1.0,loss,trend,long,74,83,,,,low_sweep,0.37245622337908557,0.6275437766209144,0.12754377662091446
XAUUSD-2026-02-02T11:35:00+00:00,2026-02-02T11:35:00+00:00,2026-02-02T11:40:00+00:00,XAUUSD,M5,SHORT,4686.1,4706.691,4656.9180000000015,4706.691,-20.59099999999944,-1.0,loss,trend,short,73,87,,,,high_sweep,0.5052642487046631,0.49473575129533687,0.005264248704663137
XAUUSD-2025-11-12T10:40:00+00:00,2025-11-12T10:40:00+00:00,2025-11-12T11:00:00+00:00,XAUUSD,M5,SHORT,4113.2,4133.482000000001,4120.905999999998,4133.482000000001,-20.282000000001062,-1.0,loss,trend,short,74,89,,,,high_sweep,0.6116860715825749,0.38831392841742507,0.11168607158258471
XAUUSD-2025-11-07T05:15:00+00:00,2025-11-07T05:15:00+00:00,2025-11-07T06:00:00+00:00,XAUUSD,M5,LONG,4008.17,3987.996,3997.4879999999994,3987.996,-20.173999999999978,-1.0,loss,trend,long,77,80,,,,low_sweep,0.21758648006336956,0.7824135199366304,0.28241351993663044
XAUUSD-2025-12-05T04:55:00+00:00,2025-12-05T04:55:00+00:00,2025-12-05T05:00:00+00:00,XAUUSD,M5,SHORT,4188.45,4208.592000000001,4199.616,4208.592000000001,-20.142000000000735,-1.0,loss,trend,short,74,82,,,,high_sweep,0.5825000000000143,0.4174999999999857,0.0825000000000143
XAUUSD-2026-01-29T19:25:00+00:00,2026-01-29T19:25:00+00:00,2026-01-29T19:25:00+00:00,XAUUSD,M5,SHORT,5327.29,5347.37,5299.61,5347.37,-20.079999999999927,-1.0,loss,trend,short,75,89,,,,high_sweep,0.6521611475788011,0.34783885242119894,0.152161147578802
XAUUSD-2025-12-04T12:00:00+00:00,2025-12-04T12:00:00+00:00,2025-12-04T13:05:00+00:00,XAUUSD,M5,SHORT,4183.02,4202.77,4193.919999999998,4202.77,-19.75,-1.0,loss,trend,short,77,85,,,,high_sweep,0.7718877428639938,0.22811225713600627,0.2718877428639937
XAUUSD-2026-01-07T10:25:00+00:00,2026-01-07T10:25:00+00:00,2026-01-07T10:35:00+00:00,XAUUSD,M5,SHORT,4449.58,4468.7660000000005,4462.237999999999,4468.7660000000005,-19.186000000000604,-1.0,loss,trend,short,75,88,,,,high_sweep,0.6657604078164834,0.33423959218351657,0.1657604078164834
XAUUSD-2025-12-03T13:35:00+00:00,2025-12-03T13:35:00+00:00,2025-12-03T13:55:00+00:00,XAUUSD,M5,SHORT,4188.36,4207.493,4201.1539999999995,4207.493,-19.13300000000072,-1.0,loss,trend,short,77,84,,,,high_sweep,0.8260233918128479,0.17397660818715208,0.32602339181284795
XAUUSD-2025-12-09T10:20:00+00:00,2025-12-09T10:20:00+00:00,2025-12-09T10:40:00+00:00,XAUUSD,M5,SHORT,4170.6,4189.599999999999,4183.690000000001,4189.599999999999,-18.99999999999909,-1.0,loss,trend,short,74,84,,,,high_sweep,0.5726315789473901,0.42736842105260986,0.07263157894739013
XAUUSD-2025-12-02T05:05:00+00:00,2025-12-02T05:05:00+00:00,2025-12-02T05:05:00+00:00,XAUUSD,M5,SHORT,4206.27,4225.181,4219.478,4225.181,-18.91099999999915,-1.0,loss,trend,short,71,84,,,,high_sweep,0.4332648870636507,0.5667351129363493,0.06673511293634081
XAUUSD-2025-11-17T15:35:00+00:00,2025-11-17T15:35:00+00:00,2025-11-17T15:35:00+00:00,XAUUSD,M5,LONG,4092.92,4074.0780000000004,4080.0539999999996,4074.0780000000004,-18.841999999999643,-1.0,loss,trend,long,74,89,,,,low_sweep,0.40395051009333754,0.5960494899066624,0.09604948990665751
XAUUSD-2025-12-09T10:50:00+00:00,2025-12-09T10:50:00+00:00,2025-12-09T10:55:00+00:00,XAUUSD,M5,SHORT,4172.54,4191.36,4185.960000000002,4191.36,-18.81999999999971,-1.0,loss,trend,short,74,80,,,,high_sweep,0.5726315789473901,0.42736842105260986,0.07263157894739013
XAUUSD-2025-11-12T10:30:00+00:00,2025-11-12T10:30:00+00:00,2025-11-12T10:35:00+00:00,XAUUSD,M5,SHORT,4111.94,4130.741999999999,4122.516000000001,4130.741999999999,-18.80199999999968,-1.0,loss,trend,short,74,84,,,,high_sweep,0.6116860715825749,0.38831392841742507,0.11168607158258471
XAUUSD-2025-12-05T06:00:00+00:00,2025-12-05T06:00:00+00:00,2025-12-05T06:05:00+00:00,XAUUSD,M5,SHORT,4192.59,4211.267,4206.415999999999,4211.267,-18.67699999999968,-1.0,loss,trend,short,72,82,,,,high_sweep,0.48696006519966734,0.5130399348003327,0.013039934800314158
XAUUSD-2025-12-02T05:15:00+00:00,2025-12-02T05:15:00+00:00,2025-12-02T05:15:00+00:00,XAUUSD,M5,SHORT,4207.03,4225.647999999999,4220.524,4225.647999999999,-18.617999999999483,-1.0,loss,trend,short,71,82,,,,high_sweep,0.4332648870636507,0.5667351129363493,0.06673511293634081
XAUUSD-2026-02-02T12:00:00+00:00,2026-02-02T12:00:00+00:00,2026-02-02T12:00:00+00:00,XAUUSD,M5,SHORT,4715.58,4734.079,4690.582,4734.079,-18.498999999999796,-1.0,loss,trend,short,73,88,,,,high_sweep,0.5052642487046631,0.49473575129533687,0.005264248704663137
XAUUSD-2026-02-02T11:15:00+00:00,2026-02-02T11:15:00+00:00,2026-02-02T11:25:00+00:00,XAUUSD,M5,SHORT,4642.65,4661.030000000001,4617.889999999998,4661.030000000001,-18.38000000000102,-1.0,loss,trend,short,73,89,,,,high_sweep,0.5052642487046631,0.49473575129533687,0.005264248704663137
XAUUSD-2025-12-05T05:50:00+00:00,2025-12-05T05:50:00+00:00,2025-12-05T05:50:00+00:00,XAUUSD,M5,SHORT,4192.08,4210.42,4206.4,4210.42,-18.340000000000146,-1.0,loss,trend,short,72,81,,,,high_sweep,0.48696006519966734,0.5130399348003327,0.013039934800314158
XAUUSD-2026-03-23T17:55:00+00:00,2026-03-23T17:55:00+00:00,2026-03-23T17:55:00+00:00,XAUUSD,M5,LONG,4400.57,4382.545,4424.619999999999,4382.545,-18.024999999999636,-1.0,loss,trend,long,78,88,,,,low_sweep,0.12346722023752164,0.8765327797624783,0.37653277976247834
XAUUSD-2025-10-24T20:30:00+00:00,2025-10-24T20:30:00+00:00,2025-10-24T20:30:00+00:00,XAUUSD,M5,LONG,4137.96,4119.9929999999995,4122.984,4119.9929999999995,-17.967000000000553,-1.0,loss,trend,long,79,78,,,,low_sweep,0.09676735559088578,0.9032326444091142,0.4032326444091142
XAUUSD-2025-11-07T05:05:00+00:00,2025-11-07T05:05:00+00:00,2025-11-07T05:05:00+00:00,XAUUSD,M5,LONG,4008.74,3990.773,3993.524,3990.773,-17.966999999999643,-1.0,loss,trend,long,77,80,,,,low_sweep,0.21758648006336956,0.7824135199366304,0.28241351993663044
